car name,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin
49,18.0,8,307.0,130,3504,12.0,70,1
36,15.0,8,350.0,165,3693,11.5,70,1
231,18.0,8,318.0,150,3436,11.0,70,1
14,16.0,8,304.0,150,3433,12.0,70,1
161,17.0,8,302.0,140,3449,10.5,70,1
141,15.0,8,429.0,198,4341,10.0,70,1
54,14.0,8,454.0,220,4354,9.0,70,1
223,14.0,8,440.0,215,4312,8.5,70,1
241,14.0,8,455.0,225,4425,10.0,70,1
1,15.0,8,390.0,190,3850,8.5,70,1
101,15.0,8,383.0,170,3563,10.0,70,1
215,14.0,8,340.0,160,3609,8.0,70,1
57,15.0,8,400.0,150,3761,9.5,70,1
30,14.0,8,455.0,225,3086,10.0,70,1
274,24.0,4,113.0,95,2372,15.0,70,3
220,22.0,6,198.0,95,2833,15.5,70,1
8,18.0,6,199.0,97,2774,15.5,70,1
150,21.0,6,200.0,85,2587,16.0,70,1
95,27.0,4,97.0,88,2130,14.5,70,3
282,26.0,4,97.0,46,1835,20.5,70,2
211,25.0,4,110.0,87,2672,17.5,70,2
16,24.0,4,107.0,90,2430,14.5,70,2
258,25.0,4,104.0,95,2375,17.5,70,2
22,26.0,4,121.0,113,2234,12.5,70,2
7,21.0,6,199.0,90,2648,15.0,70,1
133,10.0,8,360.0,215,4615,14.0,70,1
68,10.0,8,307.0,200,4376,15.0,70,1
112,11.0,8,318.0,210,4382,13.5,70,1
163,9.0,8,304.0,193,4732,18.5,70,1
95,27.0,4,97.0,88,2130,14.5,71,3
65,28.0,4,140.0,90,2264,15.5,71,1
271,25.0,4,113.0,95,2228,14.0,71,3
156,25.0,4,98.0,54,2046,19.0,71,1
7,19.0,6,232.0,100,2634,13.0,71,1
232,16.0,6,225.0,105,3439,15.5,71,1
49,17.0,6,250.0,100,3329,15.5,71,1
162,19.0,6,250.0,88,3302,15.5,71,1
10,18.0,6,232.0,100,3288,15.5,71,1
54,14.0,8,350.0,165,4209,12.0,71,1
242,14.0,8,400.0,175,4464,11.5,71,1
141,14.0,8,351.0,153,4154,13.5,71,1
223,14.0,8,318.0,150,4096,13.0,71,1
116,12.0,8,383.0,180,4955,11.5,71,1
129,13.0,8,400.0,170,4746,12.0,71,1
250,13.0,8,400.0,175,5140,12.0,71,1
9,18.0,6,258.0,110,2962,13.5,71,1
64,22.0,4,140.0,72,2408,19.0,71,1
243,19.0,6,250.0,100,3282,15.0,71,1
151,18.0,6,250.0,88,3139,14.5,71,1
187,23.0,4,122.0,86,2220,14.0,71,1
208,28.0,4,116.0,90,2123,14.0,71,2
210,30.0,4,79.0,70,2074,19.5,71,2
123,30.0,4,88.0,76,2065,14.5,71,2
267,31.0,4,71.0,65,1773,19.0,71,3
76,35.0,4,72.0,69,1613,18.0,71,3
286,27.0,4,97.0,60,1834,19.0,71,2
218,26.0,4,91.0,70,1955,20.5,71,1
272,24.0,4,113.0,95,2278,15.5,72,3
105,25.0,4,97.5,80,2126,17.0,72,1
293,23.0,4,97.0,54,2254,23.5,72,2
63,20.0,4,140.0,90,2408,19.5,72,1
158,21.0,4,122.0,86,2226,16.5,72,1
54,13.0,8,350.0,165,4274,12.0,72,1
241,14.0,8,400.0,175,4385,12.0,72,1
223,15.0,8,318.0,150,4135,13.5,72,1
141,14.0,8,351.0,153,4129,13.0,72,1
2,17.0,8,304.0,150,3672,11.5,72,1
192,11.0,8,429.0,208,4633,11.0,72,1
31,13.0,8,350.0,155,4502,13.5,72,1
203,12.0,8,350.0,160,4456,13.5,72,1
75,13.0,8,400.0,190,4422,12.5,72,1
183,19.0,3,70.0,97,2330,13.5,72,3
11,15.0,8,304.0,150,3892,12.5,72,1
48,13.0,8,307.0,130,4098,14.0,72,1
143,13.0,8,302.0,140,4294,16.0,72,1
233,14.0,8,318.0,150,4077,14.0,72,1
295,18.0,4,121.0,112,2933,14.5,72,2
283,22.0,4,121.0,76,2511,18.0,72,2
212,21.0,4,120.0,87,2979,19.5,72,2
253,26.0,4,96.0,69,2189,18.0,72,2
157,22.0,4,122.0,86,2395,16.0,72,1
85,28.0,4,97.0,92,2288,17.0,72,3
279,23.0,4,120.0,97,2506,14.5,72,3
104,28.0,4,98.0,80,2164,15.0,72,1
268,27.0,4,97.0,88,2100,16.5,72,3
25,13.0,8,350.0,175,4100,13.0,73,1
10,14.0,8,304.0,150,3672,11.5,73,1
55,13.0,8,350.0,145,3988,13.0,73,1
142,14.0,8,302.0,137,4042,14.5,73,1
109,15.0,8,318.0,150,3777,12.5,73,1
193,12.0,8,429.0,198,4952,11.5,73,1
44,13.0,8,400.0,150,4464,12.0,73,1
148,13.0,8,351.0,158,4363,13.0,73,1
222,14.0,8,318.0,150,4237,14.5,73,1
74,13.0,8,440.0,215,4735,11.0,73,1
29,12.0,8,455.0,225,4951,11.0,73,1
0,13.0,8,360.0,175,3821,11.0,73,1
235,18.0,6,225.0,105,3121,16.5,73,1
62,16.0,6,250.0,100,3278,18.0,73,1
8,18.0,6,232.0,100,2945,16.0,73,1
150,18.0,6,250.0,88,3021,16.5,73,1
220,23.0,6,198.0,95,2904,16.0,73,1
292,26.0,4,97.0,46,1950,21.0,73,2
54,11.0,8,400.0,150,4997,14.0,73,1
128,12.0,8,400.0,167,4906,12.5,73,1
219,13.0,8,360.0,170,4654,13.0,73,1
207,12.0,8,350.0,180,4499,12.5,73,1
7,18.0,6,232.0,100,2789,15.0,73,1
263,20.0,4,97.0,88,2279,19.0,73,3
63,21.0,4,140.0,72,2401,19.5,73,1
87,22.0,4,108.0,94,2379,16.5,73,3
174,18.0,3,70.0,90,2124,13.5,73,3
156,19.0,4,122.0,85,2310,18.5,73,1
188,21.0,6,155.0,107,2472,14.0,73,1
121,26.0,4,98.0,90,2265,15.5,73,2
59,15.0,8,350.0,145,4082,13.0,73,1
244,16.0,8,400.0,230,4278,9.5,73,1
124,29.0,4,68.0,49,1867,19.5,73,2
209,24.0,4,116.0,75,2158,15.5,73,2
17,20.0,4,114.0,91,2582,14.0,73,2
294,19.0,4,121.0,112,2868,15.5,73,2
113,15.0,8,318.0,150,3399,11.0,73,1
260,24.0,4,121.0,110,2660,14.0,73,2
276,20.0,6,156.0,122,2807,13.5,73,3
204,11.0,8,350.0,180,3664,11.0,73,1
220,20.0,6,198.0,95,3102,16.5,74,1
150,21.0,6,200.0,120,2875,17.0,74,1
8,19.0,6,232.0,100,2901,16.0,74,1
61,15.0,6,250.0,100,3336,17.0,74,1
92,31.0,4,79.0,67,1950,19.0,74,3
156,26.0,4,122.0,80,2451,16.5,74,1
267,32.0,4,71.0,65,1836,21.0,74,3
63,25.0,4,140.0,75,2542,17.0,74,1
50,16.0,6,250.0,100,3781,17.0,74,1
10,16.0,6,258.0,110,3632,18.0,74,1
234,18.0,6,225.0,105,3613,16.5,74,1
142,16.0,8,302.0,140,4141,14.0,74,1
27,13.0,8,350.0,150,4699,14.5,74,1
110,14.0,8,318.0,150,4457,13.5,74,1
143,14.0,8,302.0,140,4638,16.0,74,1
11,14.0,8,304.0,150,4257,15.5,74,1
21,29.0,4,98.0,83,2219,16.5,74,2
284,26.0,4,79.0,67,1963,15.5,74,2
209,26.0,4,97.0,78,2300,14.5,74,2
271,31.0,4,76.0,52,1649,16.5,74,3
88,32.0,4,83.0,61,2003,19.0,74,3
103,28.0,4,90.0,75,2125,14.5,74,1
124,24.0,4,90.0,75,2108,15.5,74,2
122,26.0,4,116.0,75,2246,14.0,74,2
167,24.0,4,120.0,97,2489,15.0,74,3
261,26.0,4,108.0,93,2391,15.5,74,3
127,31.0,4,79.0,67,2000,16.0,74,2
236,19.0,6,225.0,95,3264,16.0,75,1
61,18.0,6,250.0,105,3459,16.0,75,1
194,15.0,6,250.0,72,3432,21.0,75,1
150,15.0,6,250.0,72,3158,19.5,75,1
241,16.0,8,400.0,170,4668,11.5,75,1
42,15.0,8,350.0,145,4440,14.0,75,1
224,16.0,8,318.0,150,4498,14.5,75,1
148,14.0,8,351.0,148,4657,13.5,75,1
24,17.0,6,231.0,110,3907,21.0,75,1
41,16.0,6,250.0,105,3897,18.5,75,1
10,15.0,6,258.0,110,3730,19.0,75,1
221,18.0,6,225.0,95,3785,19.0,75,1
34,21.0,6,231.0,110,3039,15.0,75,1
60,20.0,8,262.0,110,3221,13.5,75,1
154,13.0,8,302.0,129,3169,12.0,75,1
266,29.0,4,97.0,75,2171,16.0,75,3
156,23.0,4,140.0,83,2639,17.0,75,1
7,20.0,6,232.0,100,2914,16.0,75,1
240,23.0,4,140.0,78,2592,18.5,75,1
271,24.0,4,134.0,96,2702,13.5,75,3
284,25.0,4,90.0,71,2223,16.5,75,2
88,24.0,4,119.0,97,2545,17.0,75,3
156,18.0,6,171.0,97,2984,14.5,75,1
287,29.0,4,90.0,70,1937,14.0,75,2
12,19.0,6,232.0,90,3211,17.0,75,1
17,23.0,4,115.0,95,2694,15.0,75,2
211,23.0,4,120.0,88,2957,17.0,75,2
296,22.0,4,121.0,98,2945,14.5,75,2
260,25.0,4,121.0,115,2671,13.5,75,2
171,33.0,4,91.0,53,1795,17.5,75,3
125,28.0,4,107.0,86,2464,15.5,76,2
208,25.0,4,116.0,81,2220,16.9,76,2
40,25.0,4,140.0,92,2572,14.9,76,1
103,26.0,4,98.0,79,2255,17.7,76,1
254,27.0,4,101.0,83,2202,15.3,76,2
50,17.5,8,305.0,140,4215,13.0,76,1
108,16.0,8,318.0,150,4190,13.0,76,1
10,15.5,8,304.0,120,3962,13.9,76,1
142,14.5,8,351.0,152,4215,12.8,76,1
235,22.0,6,225.0,100,3233,15.4,76,1
61,22.0,6,250.0,105,3353,14.5,76,1
150,24.0,6,200.0,81,3012,17.6,76,1
8,22.5,6,232.0,90,3085,17.6,76,1
51,29.0,4,85.0,52,2035,22.2,76,1
66,24.5,4,98.0,60,2164,22.1,76,1
302,29.0,4,90.0,70,1937,14.2,76,2
167,33.0,4,91.0,53,1795,17.4,76,3
100,20.0,6,225.0,100,3651,17.7,76,1
145,18.0,6,250.0,78,3574,21.0,76,1
252,18.5,6,250.0,110,3645,16.2,76,1
13,17.5,6,258.0,95,3193,17.8,76,1
287,29.5,4,97.0,71,1825,12.2,76,2
91,32.0,4,85.0,70,1990,17.0,76,3
266,28.0,4,97.0,75,2155,16.4,76,3
156,26.5,4,140.0,72,2565,13.6,76,1
297,20.0,4,130.0,102,3150,15.7,76,2
239,13.0,8,318.0,150,3940,13.2,76,1
211,19.0,4,120.0,88,3270,21.9,76,2
276,19.0,6,156.0,108,2930,15.5,76,3
186,16.5,6,168.0,120,3820,16.7,76,2
39,16.5,8,350.0,180,4380,12.1,76,1
67,13.0,8,350.0,145,4055,12.0,76,1
132,13.0,8,302.0,130,3870,15.0,76,1
111,13.0,8,318.0,150,3755,14.0,76,1
165,31.5,4,98.0,68,2045,18.5,77,3
32,30.0,4,111.0,80,2155,14.8,77,1
256,36.0,4,79.0,58,1825,18.6,77,2
216,25.5,4,122.0,96,2300,15.5,77,1
94,33.5,4,85.0,70,1945,16.8,77,3
44,17.5,8,305.0,145,3880,12.5,77,1
202,17.0,8,260.0,110,4060,19.0,77,1
117,15.5,8,318.0,145,4140,13.7,77,1
189,15.0,8,302.0,130,4295,14.9,77,1
53,17.5,6,250.0,110,3520,16.4,77,1
35,20.5,6,231.0,105,3425,16.9,77,1
238,19.0,6,225.0,100,3630,17.7,77,1
144,18.5,6,250.0,98,3525,19.0,77,1
245,16.0,8,400.0,180,4220,11.1,77,1
58,15.5,8,350.0,170,4165,11.4,77,1
70,15.5,8,400.0,190,4325,12.2,77,1
160,16.0,8,351.0,149,4335,14.5,77,1
288,29.0,4,97.0,78,1940,14.5,77,2
251,24.5,4,151.0,88,2740,16.0,77,1
269,26.0,4,97.0,75,2265,18.2,77,3
155,25.5,4,140.0,89,2755,15.8,77,1
51,30.5,4,98.0,63,2051,17.0,77,1
107,33.5,4,98.0,83,2075,15.9,77,1
262,30.0,4,97.0,67,1985,16.4,77,3
284,30.5,4,97.0,78,2190,14.1,77,2
89,22.0,6,146.0,97,2815,14.5,77,3
23,21.5,4,121.0,110,2600,12.8,77,2
181,21.5,3,80.0,110,2720,13.5,77,3
289,43.1,4,90.0,48,1985,21.5,78,2
139,36.1,4,98.0,66,1800,14.4,78,1
180,32.8,4,78.0,52,1985,19.4,78,3
93,39.4,4,85.0,70,2070,18.6,78,3
171,36.1,4,91.0,60,1800,16.4,78,3
201,19.9,8,260.0,110,3365,15.5,78,1
114,19.4,8,318.0,140,3735,13.2,78,1
195,20.2,8,302.0,139,3570,12.8,78,1
249,19.2,6,231.0,105,3535,19.2,78,1
55,20.5,6,200.0,95,3155,18.2,78,1
135,20.2,6,200.0,85,2965,15.8,78,1
136,25.1,4,140.0,88,2720,15.4,78,1
237,20.5,6,225.0,100,3430,17.2,78,1
3,19.4,6,232.0,90,3210,17.2,78,1
28,20.6,6,231.0,105,3380,15.8,78,1
196,20.8,6,200.0,85,3070,16.7,78,1
98,18.6,6,225.0,110,3620,18.7,78,1
4,18.1,6,258.0,120,3410,15.1,78,1
58,19.2,8,305.0,145,3425,13.2,78,1
33,17.7,6,231.0,165,3445,13.4,78,1
140,18.1,8,302.0,139,3205,11.2,78,1
115,17.5,8,318.0,140,4080,13.7,78,1
51,30.0,4,98.0,68,2155,16.5,78,1
271,27.5,4,134.0,95,2560,14.2,78,3
84,27.2,4,119.0,97,2300,14.7,78,3
118,30.9,4,105.0,75,2230,14.5,78,1
265,21.1,4,134.0,95,2515,14.8,78,3
230,23.2,4,156.0,105,2745,16.7,78,1
206,23.8,4,151.0,85,2855,17.6,78,1
77,23.9,4,119.0,97,2405,14.9,78,3
19,20.3,5,131.0,103,2830,15.9,78,2
298,17.0,6,163.0,125,3140,13.6,78,2
259,21.6,4,121.0,115,2795,15.7,78,2
214,16.2,6,163.0,133,3410,15.8,78,2
291,31.5,4,89.0,71,1990,14.9,78,2
166,29.5,4,98.0,68,2135,16.6,78,3
247,21.5,6,231.0,115,3245,15.4,79,1
197,19.8,6,200.0,85,2990,18.2,79,1
137,22.3,4,140.0,88,2890,17.3,79,1
6,20.2,6,232.0,90,3265,18.2,79,1
99,20.6,6,225.0,110,3360,16.6,79,1
44,17.0,8,305.0,130,3840,15.4,79,1
149,17.6,8,302.0,129,3725,13.4,79,1
190,16.5,8,351.0,138,3955,13.2,79,1
120,18.2,8,318.0,135,3830,15.2,79,1
30,16.9,8,350.0,155,4360,14.9,79,1
129,15.5,8,351.0,142,4054,14.3,79,1
56,19.2,8,267.0,125,3605,15.0,79,1
73,18.5,8,360.0,150,3940,13.0,79,1
304,31.9,4,89.0,71,1925,14.0,79,2
173,34.1,4,86.0,65,1975,15.2,79,3
106,35.7,4,98.0,80,1915,14.4,79,1
15,27.4,4,121.0,80,2670,15.0,79,1
184,25.4,5,183.0,77,3530,20.1,79,2
38,23.0,8,350.0,125,3900,17.4,79,1
211,27.2,4,141.0,71,3190,24.8,79,2
201,23.9,8,260.0,90,3420,22.2,79,1
225,34.2,4,105.0,70,2200,13.2,79,1
228,34.5,4,105.0,70,2150,14.9,79,1
79,31.8,4,85.0,65,2020,19.2,79,3
126,37.3,4,91.0,69,2130,14.7,79,2
37,28.4,4,151.0,90,2670,16.0,79,1
52,28.8,6,173.0,115,2595,11.3,79,1
205,26.8,6,173.0,115,2700,12.9,79,1
248,33.5,4,151.0,90,2556,13.2,79,1
302,41.5,4,98.0,76,2144,14.7,80,2
270,38.1,4,89.0,60,1968,18.8,80,3
51,32.1,4,98.0,70,2120,15.5,80,1
82,37.2,4,86.0,65,2019,16.4,80,3
52,28.0,4,151.0,90,2678,16.5,80,1
134,26.4,4,140.0,88,2870,18.1,80,1
3,24.3,4,151.0,90,3003,20.1,80,1
98,19.1,6,225.0,90,3381,18.7,80,1
18,34.3,4,97.0,78,2188,15.8,80,2
273,29.8,4,134.0,90,2711,15.5,80,3
175,31.3,4,120.0,75,2542,17.5,80,3
86,37.0,4,119.0,92,2434,15.0,80,3
266,32.2,4,108.0,75,2265,15.2,80,3
176,46.6,4,86.0,65,2110,17.9,80,3
103,27.9,4,156.0,105,2800,14.4,80,1
79,40.8,4,85.0,65,2110,19.2,80,3
303,44.3,4,90.0,48,2085,21.7,80,2
300,43.4,4,90.0,48,2335,23.7,80,2
20,36.4,5,121.0,67,2950,19.9,80,2
185,30.0,4,146.0,67,3250,21.8,80,2
170,44.6,4,91.0,67,1850,13.8,80,3
257,40.9,4,85.0,51,1835,17.3,80,2
262,33.8,4,97.0,67,2145,18.0,80,3
281,29.8,4,89.0,62,1845,15.3,80,2
81,32.7,6,168.0,132,2910,11.4,80,3
182,23.7,3,70.0,100,2420,12.5,80,3
280,35.0,4,122.0,88,2500,15.1,80,2
152,23.6,4,140.0,86,2905,14.3,80,1
164,32.4,4,107.0,72,2290,17.0,80,3
229,27.2,4,135.0,84,2490,15.7,81,1
35,26.6,4,151.0,84,2635,16.4,81,1
97,25.8,4,156.0,92,2620,14.4,81,1
52,23.5,6,173.0,110,2725,12.6,81,1
229,30.0,4,135.0,84,2385,12.9,81,1
277,39.1,4,79.0,58,1755,16.9,81,3
217,39.0,4,86.0,64,1875,16.4,81,1
169,35.1,4,81.0,60,1760,16.1,81,3
261,32.3,4,97.0,67,2065,17.8,81,3
80,37.0,4,85.0,65,1975,19.4,81,3
278,37.7,4,89.0,62,2050,17.3,81,3
177,34.1,4,91.0,68,1985,16.0,81,3
226,34.7,4,105.0,63,2215,14.9,81,1
131,34.4,4,98.0,65,2045,16.2,81,1
130,29.9,4,98.0,65,2380,20.7,81,1
285,33.0,4,105.0,74,2190,14.2,81,2
255,34.5,4,100.0,78,2320,15.8,81,2
172,33.7,4,107.0,75,2210,14.4,81,3
266,32.4,4,108.0,75,2350,16.8,81,3
78,32.9,4,119.0,100,2615,14.8,81,3
175,31.6,4,120.0,74,2635,18.3,81,3
213,28.1,4,141.0,80,3230,20.4,81,2
299,30.7,6,145.0,76,3160,19.6,81,2
275,25.4,6,168.0,116,2900,12.6,81,3
90,24.2,6,146.0,120,2930,13.8,81,3
24,22.4,6,231.0,110,3415,15.8,81,1
200,26.6,8,350.0,105,3725,19.0,81,1
146,20.2,6,200.0,88,3060,17.1,81,1
72,17.6,6,225.0,85,3465,16.6,81,1
45,28.0,4,112.0,88,2605,19.6,82,1
47,27.0,4,112.0,88,2640,18.6,82,1
46,34.0,4,112.0,88,2395,18.0,82,1
246,31.0,4,112.0,85,2575,16.2,82,1
96,29.0,4,135.0,84,2525,16.0,82,1
248,27.0,4,151.0,90,2735,18.0,82,1
138,24.0,4,140.0,92,2865,16.4,82,1
5,23.0,4,151.0,82,3035,20.5,82,1
290,36.0,4,105.0,74,1980,15.3,82,2
179,37.0,4,91.0,68,2025,18.2,82,3
178,31.0,4,91.0,68,1970,17.6,82,3
227,38.0,4,105.0,63,2125,14.7,82,1
191,36.0,4,98.0,70,2125,17.3,82,1
198,36.0,4,120.0,88,2160,14.5,82,3
164,36.0,4,107.0,75,2205,14.5,82,3
266,34.0,4,108.0,70,2245,16.9,82,3
167,38.0,4,91.0,67,1965,15.0,82,3
168,32.0,4,91.0,67,1965,15.7,82,3
83,38.0,4,91.0,67,1995,16.2,82,3
26,25.0,6,181.0,110,2945,16.4,82,1
199,38.0,6,262.0,85,3015,17.0,82,1
71,26.0,4,156.0,92,2585,14.5,82,1
147,22.0,6,232.0,112,2835,14.7,82,1
264,32.0,4,144.0,96,2665,13.9,82,3
102,36.0,4,135.0,84,2370,13.0,82,1
43,27.0,4,151.0,90,2950,17.3,82,1
153,27.0,4,140.0,86,2790,15.6,82,1
301,44.0,4,97.0,52,2130,24.6,82,2
119,32.0,4,135.0,84,2295,11.6,82,1
159,28.0,4,120.0,79,2625,18.6,82,1
69,31.0,4,119.0,82,2720,19.4,82,1
